protocolo,cenario,tamanho_label,tamanho_bytes,tempo_dns_media,tempo_dns_desvio,tempo_dns_min,tempo_dns_max,tempo_total_media,tempo_total_desvio,tempo_total_min,tempo_total_max,bytes_media,bytes_desvio,bytes_min,bytes_max,throughput_media,throughput_desvio,throughput_min,throughput_max,throughput_mbps_media,throughput_mbps_desvio,throughput_mbps_min,throughput_mbps_max,taxa_erro_media,taxa_erro_desvio,taxa_erro_min,taxa_erro_max,erros_total,sucessos_total,execucoes,taxa_erro_pct,taxa_erro_desvio_pct
TCP,A,100kb,102400,0.01333,0.0036630436646167457,0.0118,0.0237,0.05917,0.003894169430771541,0.0552,0.0684,102400.0,0.0,102400,102400,1737309.0740000003,106663.52352527656,1497041.55,1856680.99,13.898472592000001,0.8533081882022129,11.9763324,14.85344792,0.0,0.0,0,0,0,10,10,0.0,0.0
RUDP,A,100kb,102400,0.017383333333333334,0.012014978026184524,0.0117,0.0531,1.6378166666666667,1.6304758506941983,1.149,6.8152,102564.0,0.0,102564,102564,81811.8625,21034.910804295243,15049.34,89260.32,0.6544949,0.16827928643436194,0.12039472,0.71408256,0.0,0.0,0,0,0,12,12,0.0,0.0
TCP,B,100kb,102400,0.0579,0.016689367872990274,0.0521,0.1024,0.31887777777777776,0.19101625439853137,0.2151,0.778,102400.0,0.0,102400,102400,386035.22222222225,127427.5295782278,131619.19,475991.06,3.088281777777778,1.0194202366258225,1.05295352,3.80792848,0.0,0.0,0,0,0,9,9,0.0,0.0
RUDP,B,100kb,102400,0.093525,0.02276113280719276,0.0594,0.1055,10.7066,4.801133129446283,5.8584,17.3147,102564.0,0.0,102564,102564,11088.087500000001,4801.2278330816935,5923.54,17507.29,0.0887047,0.03840982266465355,0.04738832,0.14005832000000001,0.0,0.0,0,0,0,4,4,0.0,0.0
TCP,C,100kb,102400,0.1072111111111111,0.014664791546800495,0.1019,0.1463,0.7706555555555555,0.9503089696397576,0.4159,3.3015,102400.0,0.0,102400,102400,205993.32666666666,69561.7975014934,31016.29,246224.19,1.6479466133333334,0.5564943800119473,0.24813032000000002,1.96979352,0.0,0.0,0,0,0,9,9,0.0,0.0
TCP,A,500kb,512000,0.01179,0.000119721899973787,0.0116,0.012,0.12729,0.008199383445655467,0.1151,0.1437,512000.0,0.0,512000,512000,4037107.8980000005,249999.8969694004,3564087.09,4448051.43,32.296863184,1.9999991757552047,28.512696719999997,35.58441144,0.0,0.0,0,0,0,10,10,0.0,0.0
RUDP,A,500kb,512000,0.011654545454545456,0.00018635254955935785,0.0113,0.012,5.787781818181818,0.04744387880816266,5.6595,5.8388,512164.0,0.0,512164,512164,88496.09818181818,736.0960394787902,87717.59,90496.15,0.7079687854545454,0.0058887683158303375,0.70174072,0.7239692,0.0,0.0,0,0,0,11,11,0.0,0.0
TCP,B,500kb,512000,0.052090000000000004,0.00029608557321603114,0.0517,0.0526,0.41552,0.07822061109451907,0.3855,0.6377,512000.0,0.0,512000,512000,1259456.7,161229.26183166864,802943.81,1328151.17,10.075653599999999,1.289834094653349,6.42355048,10.62520936,0.0,0.0,0,0,0,10,10,0.0,0.0
RUDP,B,500kb,512000,0.052275,0.0006994045086119066,0.0516,0.0532,53.5166,13.051448006255859,34.5503,63.8386,512164.0,0.0,512164,512164,10144.045,3154.1329751560347,8022.79,14823.73,0.08115236,0.025233063801248286,0.06418232,0.11858984,0.0,0.0,0,0,0,4,4,0.0,0.0
TCP,C,500kb,512000,0.1022125,0.0005462534733462618,0.1018,0.1035,0.7921875,0.14732998373427886,0.7341,1.1566,512000.0,0.0,512000,512000,660669.05375,88212.11075312228,442658.29,697480.65,5.28535243,0.7056968860249783,3.5412663199999996,5.5798452,0.0,0.0,0,0,0,8,8,0.0,0.0
TCP,A,1mb,1048576,0.01171,0.00019119507199600032,0.0113,0.0119,0.28275,0.012342181510755893,0.2728,0.3104,1048576.0,0.0,1048576,1048576,3714477.975,154673.59583324546,3378235.05,3843105.87,29.7158238,1.237388766665964,27.0258804,30.74484696,0.0,0.0,0,0,0,10,10,0.0,0.0
RUDP,A,1mb,1048576,0.012090909090909091,0.0007751832627895743,0.0113,0.0137,12.180463636363635,0.16473582046857518,11.6982,12.2963,1048741.0,0.0,1048741,1048741,86115.04,1204.5148599166346,85289.14,89650.15,0.68892032,0.009636118879333095,0.68231312,0.7172012,0.0,0.0,0,0,0,11,11,0.0,0.0
TCP,B,1mb,1048576,0.05197,0.0004243949942107149,0.0516,0.0529,0.5478799999999999,0.009168036261320593,0.5352,0.5633,1048576.0,0.0,1048576,1048576,1914336.537,31878.08533287543,1861630.63,1959109.7,15.314692295999999,0.255024682663004,14.893045039999999,15.6728776,0.0,0.0,0,0,0,10,10,0.0,0.0
RUDP,B,1mb,1048576,0.05293333333333333,0.000808290376865477,0.0522,0.0538,111.01013333333333,38.40408567357557,67.2133,138.9295,1048741.0,0.0,1048741,1048741,10472.343333333332,4457.848958077576,7548.73,15603.18,0.08377874666666667,0.03566279166462061,0.06038983999999999,0.12482544,0.0,0.0,0,0,0,3,3,0.0,0.0
TCP,C,1mb,1048576,0.10228571428571429,0.0007312741652498794,0.1016,0.1038,0.9232857142857143,0.01679984410358508,0.9059,0.9519,1048576.0,0.0,1048576,1048576,1136036.1342857142,20458.625396294225,1101595.02,1157486.36,9.088289074285713,0.16366900317035368,8.81276016,9.25989088,0.0,0.0,0,0,0,7,7,0.0,0.0
